======================================================================================================================================================
SHA256 DISTRIBUTION
======================================================================================================================================================
iter   | aAll   | bAll   | cAll   | dAll   | eAll   | fAll   | 0All   | 1All   | 2All   | 3All   | 4All   | 5All   | 6All   | 7All   | 8All   | 9All
-------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+-------
100    | 6.45   | 6.48   | 6.28   | 6.28   | 6.28   | 6.41   | 6.45   | 6.62   | 6.19   | 5.64   | 6.17   | 6.31   | 6.42   | 6.09   | 5.75   | 6.16
200    | 6.22   | 6.24   | 6.05   | 6.42   | 6.60   | 6.27   | 6.39   | 6.09   | 6.16   | 6.05   | 6.10   | 6.29   | 6.66   | 6.47   | 5.91   | 6.09
300    | 6.24   | 6.33   | 6.23   | 6.29   | 6.42   | 6.28   | 6.37   | 6.18   | 6.14   | 6.06   | 6.08   | 6.32   | 6.69   | 6.41   | 6.07   | 5.86
400    | 6.30   | 6.16   | 6.21   | 6.33   | 6.39   | 6.26   | 6.32   | 6.20   | 6.20   | 6.23   | 6.08   | 6.26   | 6.58   | 6.37   | 6.25   | 5.86
500    | 6.34   | 6.17   | 6.17   | 6.32   | 6.41   | 6.25   | 6.43   | 6.17   | 6.22   | 6.19   | 6.03   | 6.30   | 6.38   | 6.33   | 6.28   | 5.98
600    | 6.34   | 6.22   | 6.24   | 6.30   | 6.42   | 6.13   | 6.34   | 6.30   | 6.12   | 6.18   | 6.07   | 6.27   | 6.34   | 6.37   | 6.34   | 6.02
700    | 6.37   | 6.20   | 6.29   | 6.26   | 6.41   | 6.20   | 6.38   | 6.33   | 6.13   | 6.20   | 6.05   | 6.24   | 6.25   | 6.31   | 6.27   | 6.10
800    | 6.31   | 6.25   | 6.27   | 6.27   | 6.42   | 6.09   | 6.42   | 6.32   | 6.11   | 6.21   | 6.07   | 6.26   | 6.32   | 6.27   | 6.30   | 6.10
900    | 6.29   | 6.22   | 6.27   | 6.34   | 6.38   | 6.12   | 6.38   | 6.33   | 6.12   | 6.21   | 6.07   | 6.29   | 6.30   | 6.29   | 6.27   | 6.12
1000   | 6.29   | 6.21   | 6.23   | 6.27   | 6.36   | 6.12   | 6.36   | 6.27   | 6.12   | 6.34   | 6.07   | 6.27   | 6.30   | 6.30   | 6.30   | 6.17
1100   | 6.30   | 6.21   | 6.17   | 6.27   | 6.38   | 6.15   | 6.36   | 6.31   | 6.13   | 6.32   | 6.11   | 6.23   | 6.30   | 6.28   | 6.29   | 6.19
1200   | 6.31   | 6.24   | 6.15   | 6.27   | 6.35   | 6.14   | 6.34   | 6.31   | 6.13   | 6.38   | 6.14   | 6.19   | 6.30   | 6.29   | 6.32   | 6.16
