iter    | category           | len  | shepOk | shaOk | shepOnes | shaOnes | shepEnt | shaEnt | shepRuns | shaRuns | shepHam  | shaHam  | shepPosU  | shaPosU  | shepGlobU  | shaGlobU  | shepFinal | shaFinal | better 
--------+--------------------+------+--------+-------+----------+---------+---------+--------+----------+---------+----------+---------+-----------+----------+------------+-----------+-----------+----------+--------
100     | A-Z                | 32   | 100    | 100   | 49.98    | 50.27   | 1.000   | 1.000  | 0.5909   | 0.6674  | 128.37   | 127.23  | 83.60     | 83.52    | 98.72      | 98.50     | 98.56     | 98.15    | SHEP32 
200     | unicode500         | 57   | 200    | 200   | 49.91    | 50.31   | 1.000   | 1.000  | 0.5298   | 0.3009  | 127.94   | 127.47  | 88.55     | 88.15    | 98.37      | 98.78     | 98.92     | 98.10    | SHEP32 
300     | unicode50000       | 85   | 300    | 300   | 49.87    | 50.35   | 1.000   | 1.000  | 0.6171   | 0.2753  | 127.92   | 127.87  | 90.67     | 90.50    | 99.01      | 98.98     | 98.92     | 98.17    | SHEP32 
400     | unicode60000       | 47   | 400    | 400   | 49.88    | 50.30   | 1.000   | 1.000  | 0.4674   | 0.5731  | 128.26   | 127.88  | 91.99     | 91.84    | 99.08      | 99.22     | 98.76     | 98.65    | SHEP32 
500     | a-zA-Z0-9          | 77   | 500    | 500   | 49.89    | 50.18   | 1.000   | 1.000  | 0.3853   | 0.5869  | 127.70   | 127.88  | 92.87     | 92.93    | 99.13      | 99.44     | 98.65     | 98.78    | SHA256 
600     | unicode80000       | 85   | 600    | 600   | 49.97    | 50.16   | 1.000   | 1.000  | 0.5504   | 0.9035  | 127.66   | 128.03  | 93.47     | 93.48    | 99.23      | 99.58     | 99.50     | 97.08    | SHEP32 
700     | unicode20000       | 88   | 700    | 700   | 49.94    | 50.14   | 1.000   | 1.000  | 0.4027   | 0.9561  | 127.92   | 128.30  | 93.93     | 93.97    | 99.24      | 99.43     | 99.50     | 96.78    | SHEP32 
800     | unicode2000        | 66   | 800    | 800   | 49.93    | 50.11   | 1.000   | 1.000  | 0.8382   | 0.9033  | 127.90   | 128.37  | 94.27     | 94.37    | 99.35      | 99.27     | 98.72     | 97.79    | SHEP32 
900     | A-Z                | 66   | 900    | 900   | 49.93    | 50.09   | 1.000   | 1.000  | 0.7365   | 0.7844  | 127.98   | 128.29  | 94.61     | 94.80    | 99.35      | 99.28     | 98.77     | 98.31    | SHEP32 
1000    | A-Za-z             | 39   | 1000   | 1000  | 49.99    | 50.13   | 1.000   | 1.000  | 0.7760   | 0.4939  | 127.94   | 128.36  | 94.89     | 95.00    | 99.30      | 99.27     | 97.94     | 99.41    | SHA256 
1100    | unicode500000      | 8    | 1100   | 1100  | 50.03    | 50.12   | 1.000   | 1.000  | 0.9281   | 0.4240  | 127.95   | 128.21  | 95.22     | 95.20    | 99.38      | 99.33     | 96.99     | 99.50    | SHA256 
1200    | a-z                | 15   | 1200   | 1200  | 50.03    | 50.09   | 1.000   | 1.000  | 0.8997   | 0.4432  | 127.93   | 128.10  | 95.42     | 95.44    | 99.46      | 99.41     | 97.17     | 99.50    | SHA256 
1300    | unicode5000        | 25   | 1300   | 1300  | 50.04    | 50.04   | 1.000   | 1.000  | 0.9450   | 0.4818  | 127.92   | 128.10  | 95.51     | 95.55    | 99.50      | 99.39     | 96.87     | 99.50    | SHA256 
